AverageTemperatureFahr,City,Latitude,Longitude
24.4274,Lvov,50.63N,24.08E
28.6304,Lvov,50.63N,24.08E
33.7604,Lvov,50.63N,24.08E
52.205,Marseille,42.59N,6.55E
49.703,Marseille,42.59N,6.55E
54.2318,Marseille,42.59N,6.55E
55.9868,Marseille,42.59N,6.55E
64.3064,Marseille,42.59N,6.55E
68.7668,Marseille,42.59N,6.55E
74.0264,Marseille,42.59N,6.55E
75.6356,Marseille,42.59N,6.55E
71.9942,Marseille,42.59N,6.55E
64.8374,Marseille,42.59N,6.55E
55.0418,Marseille,42.59N,6.55E
51.4832,Marseille,42.59N,6.55E
49.6616,Marseille,42.59N,6.55E
52.889,Marseille,42.59N,6.55E
53.582,Marseille,42.59N,6.55E
56.1524,Marseille,42.59N,6.55E
65.1884,Marseille,42.59N,6.55E
69.6146,Marseille,42.59N,6.55E
70.8926,Marseille,42.59N,6.55E
74.6474,Marseille,42.59N,6.55E
70.16,Marseille,42.59N,6.55E
63.8474,Marseille,42.59N,6.55E
57.4718,Marseille,42.59N,6.55E
56.2514,Marseille,42.59N,6.55E
53.357,Marseille,42.59N,6.55E
51.9314,Marseille,42.59N,6.55E
57.4574,Marseille,42.59N,6.55E
55.9652,Marseille,42.59N,6.55E
63.7142,Marseille,42.59N,6.55E
68.9522,Marseille,42.59N,6.55E
73.247,Marseille,42.59N,6.55E
75.839,Marseille,42.59N,6.55E
67.3016,Marseille,42.59N,6.55E
67.7354,Marseille,42.59N,6.55E
56.9516,Marseille,42.59N,6.55E
49.8074,Marseille,42.59N,6.55E
50.2088,Marseille,42.59N,6.55E
53.4416,Marseille,42.59N,6.55E
55.6556,Odesa,45.81N,31.15E
64.6682,Odesa,45.81N,31.15E
69.3896,Odesa,45.81N,31.15E
75.5906,Odesa,45.81N,31.15E
61.5002,Odesa,45.81N,31.15E
54.968,Odesa,45.81N,31.15E
46.6988,Odesa,45.81N,31.15E
35.1968,Odesa,45.81N,31.15E
35.8952,Odesa,45.81N,31.15E
32.8658,Odesa,45.81N,31.15E
37.0292,Odesa,45.81N,31.15E
46.4666,Odesa,45.81N,31.15E
58.0208,Odesa,45.81N,31.15E
64.085,Odesa,45.81N,31.15E
67.199,Odesa,45.81N,31.15E
69.8432,Odesa,45.81N,31.15E
61.1258,Odesa,45.81N,31.15E
55.3388,Odesa,45.81N,31.15E
34.8296,Odesa,45.81N,31.15E
42.089,Odesa,45.81N,31.15E
40.8704,Odesa,45.81N,31.15E
31.9604,Odesa,45.81N,31.15E
40.4924,Odesa,45.81N,31.15E
52.1204,Odesa,45.81N,31.15E
58.3646,Odesa,45.81N,31.15E
63.5756,Odesa,45.81N,31.15E
72.815,Odesa,45.81N,31.15E
71.8718,Odesa,45.81N,31.15E
70.5326,Odesa,45.81N,31.15E
56.4602,Odesa,45.81N,31.15E
43.9088,Odesa,45.81N,31.15E
37.5998,Odesa,45.81N,31.15E
34.3958,Odesa,45.81N,31.15E
41.5544,Odesa,45.81N,31.15E
41.7398,Odesa,45.81N,31.15E
48.3116,Odesa,45.81N,31.15E
57.875,Paris,49.03N,2.45E
50.8766,Paris,49.03N,2.45E
44.1716,Paris,49.03N,2.45E
38.5196,Paris,49.03N,2.45E
35.519,Paris,49.03N,2.45E
36.5288,Paris,49.03N,2.45E
41.3816,Paris,49.03N,2.45E
48.6194,Paris,49.03N,2.45E
50.4338,Paris,49.03N,2.45E
45.473,Paris,49.03N,2.45E
40.928,Paris,49.03N,2.45E
31.9046,Paris,49.03N,2.45E
38.7698,Paris,49.03N,2.45E
46.3352,Paris,49.03N,2.45E
48.7526,Paris,49.03N,2.45E
56.5736,Paris,49.03N,2.45E
36.0356,Stockholm,58.66N,18.46E
32.747,Stockholm,58.66N,18.46E
32.7236,Stockholm,58.66N,18.46E
27.2984,Stockholm,58.66N,18.46E
27.3596,Stockholm,58.66N,18.46E
32.7884,Stockholm,58.66N,18.46E
45.8042,Stockholm,58.66N,18.46E
49.6472,Stockholm,58.66N,18.46E
57.5474,Stockholm,58.66N,18.46E
62.3408,Stockholm,58.66N,18.46E
58.3322,Stockholm,58.66N,18.46E
45.365,Stockholm,58.66N,18.46E
39.6698,Stockholm,58.66N,18.46E
38.3702,Stockholm,58.66N,18.46E
29.471,Stockholm,58.66N,18.46E
31.6976,Stockholm,58.66N,18.46E
28.3712,Stockholm,58.66N,18.46E
32.5076,Stockholm,58.66N,18.46E
43.6172,Stockholm,58.66N,18.46E
53.5082,Stockholm,58.66N,18.46E
62.573,Stockholm,58.66N,18.46E
66.3008,Stockholm,58.66N,18.46E
51.3932,Stockholm,58.66N,18.46E
43.7504,Stockholm,58.66N,18.46E
39.4178,Stockholm,58.66N,18.46E
35.5406,Stockholm,58.66N,18.46E
